Date,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran St total,East_Coast_Road Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great South Road Total,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon_Drive Cyclists,Lake Road Total,Mangere Bridge Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Orewa Path Cyclists,Quay St (Vector Arena) total,Quay Street Totem Cyclists,SH20 Dominion Road Cyclists,Symonds St Total,Tamaki Dr total,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour New Cyclists,Upper Queen Street Cyclists,Victoris St West total
Fri 1 Jul 2016,266,224,217,115,526,294,88,92,30,139,558,122,464,188,304,344,629,454,248,1013,,114,380,1205,478,88,98,123,128
Sat 2 Jul 2016,213,109,341,183,264,248,36,81,41,64,311,231,265,495,237,436,397,605,436,1002,,111,176,1370,787,144,244,72,88
Sun 3 Jul 2016,264,85,345,159,267,347,23,66,15,71,297,194,251,601,288,515,581,874,712,960,,153,148,1304,695,189,250,70,67
Mon 4 Jul 2016,300,226,160,115,524,364,70,86,39,175,547,117,326,209,348,384,772,513,243,824,,134,404,998,383,64,57,135,108
Tue 5 Jul 2016,304,262,205,140,598,364,70,102,41,182,555,159,321,268,412,422,771,560,250,934,42,128,471,1214,380,114,126,136,118
Wed 6 Jul 2016,322,261,205,98,617,354,82,77,53,205,547,129,368,231,345,377,714,518,268,927,72,106,409,1125,453,77,100,139,101
Thu 7 Jul 2016,230,154,106,88,443,223,75,69,20,153,469,101,219,127,284,305,480,321,117,619,97,56,324,719,266,30,40,111,96
Fri 8 Jul 2016,212,146,152,60,399,214,78,84,12,147,418,86,177,152,272,268,447,275,134,708,691,69,257,746,380,55,36,133,84
Sat 9 Jul 2016,160,69,189,124,183,187,40,80,38,55,292,150,212,369,144,302,268,394,232,756,547,105,143,942,473,103,170,76,75
Sun 10 Jul 2016,233,80,316,119,214,285,21,76,20,42,299,187,234,506,295,604,415,582,588,969,791,138,113,1151,631,210,309,55,73
Mon 11 Jul 2016,300,224,147,109,501,319,93,92,44,171,515,119,210,187,346,432,710,473,266,891,642,100,392,987,431,120,53,126,136
Tue 12 Jul 2016,395,243,225,129,559,421,103,106,31,180,611,155,291,244,394,541,768,561,376,1147,815,128,411,1350,606,164,134,149,131
Wed 13 Jul 2016,303,229,205,102,539,324,84,83,23,183,501,116,268,218,366,441,675,504,305,914,654,101,388,993,460,100,103,129,94
Thu 14 Jul 2016,180,131,86,42,378,172,75,82,9,131,381,74,134,139,224,232,352,206,74,561,364,54,257,654,279,49,39,109,88
Fri 15 Jul 2016,185,146,143,69,389,219,74,76,14,121,417,71,166,102,247,317,394,263,144,716,442,39,299,774,303,46,54,123,83
Sat 16 Jul 2016,134,67,98,72,204,156,45,66,30,54,242,98,183,169,139,249,229,249,199,581,437,68,133,667,379,94,93,52,49
Sun 17 Jul 2016,128,76,156,121,172,148,37,70,21,45,225,141,184,247,103,209,244,297,243,571,435,80,120,635,346,60,188,57,34
Mon 18 Jul 2016,217,159,91,70,447,272,97,81,10,145,422,60,150,145,243,264,510,287,95,594,402,55,359,635,292,70,37,83,51
Tue 19 Jul 2016,290,228,130,90,552,332,87,113,18,139,541,101,176,162,317,383,626,393,142,842,535,67,407,986,407,103,132,124,93
Wed 20 Jul 2016,205,171,109,62,497,221,86,73,37,162,458,98,143,111,252,285,425,271,110,617,445,73,368,664,319,69,55,107,92
Thu 21 Jul 2016,301,278,177,94,599,326,98,71,46,155,460,113,243,207,346,430,631,445,202,899,627,110,429,1066,428,110,114,141,106
Fri 22 Jul 2016,240,186,156,101,490,267,76,91,17,162,490,77,205,202,270,375,520,358,250,852,534,71,369,933,423,104,129,144,110
Sat 23 Jul 2016,157,80,171,101,203,154,26,62,19,69,262,129,164,257,104,188,204,258,233,699,392,53,118,809,328,71,178,66,55
Sun 24 Jul 2016,125,71,140,73,201,163,37,65,9,38,268,108,134,211,119,204,308,343,214,477,320,76,113,584,311,125,110,56,61
Mon 25 Jul 2016,296,273,140,79,642,396,101,95,26,181,479,108,271,213,333,363,742,415,226,881,565,80,484,857,383,95,105,136,110
Tue 26 Jul 2016,247,214,110,128,529,300,103,88,9,157,576,116,200,151,281,531,534,310,177,780,428,75,404,1019,282,65,70,144,97
Wed 27 Jul 2016,352,274,216,92,728,426,82,89,37,190,464,139,313,235,370,418,786,564,255,930,592,90,500,996,433,91,102,154,106
Thu 28 Jul 2016,228,226,137,86,522,299,106,73,18,167,463,100,250,159,273,309,580,351,166,757,466,50,343,851,284,24,65,125,85
Fri 29 Jul 2016,177,181,83,97,407,205,93,75,18,119,484,87,202,89,191,207,367,209,63,680,399,47,287,892,286,53,39,119,67
Sat 30 Jul 2016,132,110,220,101,218,161,33,51,48,54,216,199,208,379,140,250,281,428,356,811,516,103,146,1025,480,132,177,65,72
Sun 31 Jul 2016,58,40,86,90,115,79,27,76,1,34,260,89,138,140,93,124,136,273,162,469,214,41,91,815,168,47,94,41,26
